,location_id,name,city,latitude,longitude
0,1321759,Monzen Chaya,Hong Kong,22.353756966211918,114.11938598700011
1,1321930,Patio,Hong Kong,22.353756966211918,114.11938598700011
2,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.353756966211918,114.11938598700011
3,21462058,Present (Greenfield Garden),Hong Kong,22.353756966211918,114.11938598700011
4,21400002,McDonald's,Hong Kong,22.353756966211918,114.11938598700011
5,23832976,Tsing Yi Promenade,Hong Kong,22.353756966211918,114.11938598700011
6,12962292,Tsing Yi Park,Hong Kong,22.353756966211918,114.11938598700011
7,21399936,McDonald's,Hong Kong,22.353756966211918,114.11938598700011
8,12386977,Carnival Restaurant,Hong Kong,22.353756966211918,114.11938598700011
9,13425514,Coral Coffee,Hong Kong,22.353756966211918,114.11938598700011
10,1321759,Monzen Chaya,Hong Kong,22.353336158841135,114.12063606859599
11,1321930,Patio,Hong Kong,22.353336158841135,114.12063606859599
12,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.353336158841135,114.12063606859599
13,21462058,Present (Greenfield Garden),Hong Kong,22.353336158841135,114.12063606859599
14,23832976,Tsing Yi Promenade,Hong Kong,22.353336158841135,114.12063606859599
15,12962292,Tsing Yi Park,Hong Kong,22.353336158841135,114.12063606859599
16,21399936,McDonald's,Hong Kong,22.353336158841135,114.12063606859599
17,12386977,Carnival Restaurant,Hong Kong,22.353336158841135,114.12063606859599
18,13425514,Coral Coffee,Hong Kong,22.353336158841135,114.12063606859599
19,631659,Rambler Garden Hotel,Hong Kong,22.353336158841135,114.12063606859599
20,1321759,Monzen Chaya,Hong Kong,22.352270642857466,114.12130120847426
21,1321930,Patio,Hong Kong,22.352270642857466,114.12130120847426
22,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.352270642857466,114.12130120847426
23,21462058,Present (Greenfield Garden),Hong Kong,22.352270642857466,114.12130120847426
24,23832976,Tsing Yi Promenade,Hong Kong,22.352270642857466,114.12130120847426
25,12962292,Tsing Yi Park,Hong Kong,22.352270642857466,114.12130120847426
26,21399936,McDonald's,Hong Kong,22.352270642857466,114.12130120847426
27,12386977,Carnival Restaurant,Hong Kong,22.352270642857466,114.12130120847426
28,13425514,Coral Coffee,Hong Kong,22.352270642857466,114.12130120847426
29,631659,Rambler Garden Hotel,Hong Kong,22.352270642857466,114.12130120847426
30,1321759,Monzen Chaya,Hong Kong,22.351058992687886,114.12107018985384
31,1321930,Patio,Hong Kong,22.351058992687886,114.12107018985384
32,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.351058992687886,114.12107018985384
33,21462058,Present (Greenfield Garden),Hong Kong,22.351058992687886,114.12107018985384
34,23832976,Tsing Yi Promenade,Hong Kong,22.351058992687886,114.12107018985384
35,12962292,Tsing Yi Park,Hong Kong,22.351058992687886,114.12107018985384
36,21399936,McDonald's,Hong Kong,22.351058992687886,114.12107018985384
37,12386977,Carnival Restaurant,Hong Kong,22.351058992687886,114.12107018985384
38,13425514,Coral Coffee,Hong Kong,22.351058992687886,114.12107018985384
39,631659,Rambler Garden Hotel,Hong Kong,22.351058992687886,114.12107018985384
40,1321759,Monzen Chaya,Hong Kong,22.350268149888596,114.12005112687909
41,1321930,Patio,Hong Kong,22.350268149888596,114.12005112687909
42,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.350268149888596,114.12005112687909
43,21462058,Present (Greenfield Garden),Hong Kong,22.350268149888596,114.12005112687909
44,23832976,Tsing Yi Promenade,Hong Kong,22.350268149888596,114.12005112687909
45,12962292,Tsing Yi Park,Hong Kong,22.350268149888596,114.12005112687909
46,21399936,McDonald's,Hong Kong,22.350268149888596,114.12005112687909
47,12386977,Carnival Restaurant,Hong Kong,22.350268149888596,114.12005112687909
48,13425514,Coral Coffee,Hong Kong,22.350268149888596,114.12005112687909
49,631659,Rambler Garden Hotel,Hong Kong,22.350268149888596,114.12005112687909
50,1321759,Monzen Chaya,Hong Kong,22.350268149888596,114.11872084712112
51,1321930,Patio,Hong Kong,22.350268149888596,114.11872084712112
52,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.350268149888596,114.11872084712112
53,21462058,Present (Greenfield Garden),Hong Kong,22.350268149888596,114.11872084712112
54,21400002,McDonald's,Hong Kong,22.350268149888596,114.11872084712112
55,23832976,Tsing Yi Promenade,Hong Kong,22.350268149888596,114.11872084712112
56,12962292,Tsing Yi Park,Hong Kong,22.350268149888596,114.11872084712112
57,21399936,McDonald's,Hong Kong,22.350268149888596,114.11872084712112
58,12386977,Carnival Restaurant,Hong Kong,22.350268149888596,114.11872084712112
59,13425514,Coral Coffee,Hong Kong,22.350268149888596,114.11872084712112
60,1321759,Monzen Chaya,Hong Kong,22.351058992687886,114.11770178414638
61,1321930,Patio,Hong Kong,22.351058992687886,114.11770178414638
62,15097446,Tao Heung (Greenfield Shopping Arcade),Hong Kong,22.351058992687886,114.11770178414638
63,21462058,Present (Greenfield Garden),Hong Kong,22.351058992687886,114.11770178414638
64,21400002,McDonald's,Hong Kong,22.351058992687886,114.11770178414638
65,23832976,Tsing Yi Promenade,Hong Kong,22.351058992687886,114.11770178414638
66,12962292,Tsing Yi Park,Hong Kong,22.351058992687886,114.11770178414638
67,21399936,McDonald's,Hong Kong,22.351058992687886,114.11770178414638
68,12386977,Carnival Restaurant,Hong Kong,22.351058992687886,114.11770178414638
69,13425514,Coral Coffee,Hong Kong,22.351058992687886,114.11770178414638
70,1321759,Monzen Chaya,Hong Kong,22.352270642857466,114.11747076552595
