rank,city,country,2017,2018,2019,2018Growth,2019Growth,2013–18Rank,2018–19Rank
77,Cebu,Philippines,2245.2,2805.1,3539.6,24.9%,26.2%,51,10
78,Auckland,New_Zealand,2665.4,2798.9,2926.2,5.0%,4.5%,6,3
79,Tel_Aviv,Israel,2573.5,2777.0,2978.1,7.9%,7.2%,8,1
80,Guilin,China,2489.0,2747.0,2980.5,10.4%,8.5%,29,1
81,Honolulu,US,2685.8,2737.3,2853.1,1.9%,4.2%,11,-4
82,Hurgada,Egypt,1863.7,2735.7,3866.1,46.8%,41.3%,45,19
83,Warsaw,Poland,2630.0,2732.0,2827.0,3.9%,3.5%,16,4
84,Mugla,Turkey,1982.8,2723.8,2920.8,37.4%,7.2%,33,2
85,Buenos_Aires,Argentina,2553.2,2685.7,2767.4,5.2%,3.0%,31,4
86,Chiba,Japan,2431.9,2683.9,2777.5,10.4%,3.5%,106,2
87,Frankfurt,Germany,2496.0,2636.0,2728.1,5.6%,3.5%,7,4
88,Stockholm,Sweden,2473.5,2604.6,2721.9,5.3%,4.5%,0,4
89,Lima,Peru,2348.5,2535.4,2764.0,8.0%,9.0%,11,1
90,Da_Nang,Vietnam,2004.0,2505.0,2880.8,25.0%,15.0%,72,6
91,Batam,Indonesia,2227.5,2492.6,2850.8,11.9%,14.4%,20,5
92,Nice,France,2327.2,2466.8,2582.7,6.0%,4.7%,17,2
93,Fukuoka,Japan,2025.2,2436.9,2525.7,20.3%,3.6%,104,3
94,Abu_Dhabi,United_Arab_Emirates,2244.5,2402.8,2565.2,7.1%,6.8%,12,1
95,Jeju,South_Korea,2429.4,2349.2,2278.8,-3.3%,-3.0%,8,12
96,Porto,Portugal,2232.5,2341.3,2491.7,4.9%,6.4%,22,1
97,Rhodes,Greece,2178.7,2337.7,2414.8,7.3%,3.3%,11,2
98,Rio,de,Janeiro,Brazil,2251.3,2278.3,2330.7,1.2%,2.3%,7,6
99,Krabi,Thailand,2118.6,2255.3,2386.2,6.5%,5.8%,5,1
100,Bangalore,India,1782.1,2239.2,2676.1,25.7%,19.5%,83,7
